Адрес,Код,IP,CR,AR,DR,SP,BR,AC,NZVC,Новый адрес,Новый Код
098,A095,099,A095,095,C001,000,0098,C001,1000,   ,    
099,2096,09A,2096,096,C001,000,0099,C001,1000,   ,    
09A,B097,09B,B097,097,C001,000,C000,C000,1000,097,C001
09B,6097,09C,6097,097,C001,000,009B,FFFF,1000,   ,    
09C,E097,09D,E097,097,FFFF,000,009C,FFFF,1000,097,FFFF
09D,0100,09E,0100,09D,0100,000,009D,FFFF,1000,   ,    
