Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
0CB   	0200   	0CC	0200	0CB	0200	000	00CB	0000	0100	           	         
0CC   	0280   	0CD	0280	0CC	0280	000	00CC	FFFF	1000	           	         
0CD   	20D4   	0CE	20D4	0D4	3FFF	000	00CD	3FFF	0000	           	         
0CE   	30CA   	0CF	30CA	0CA	0000	000	C000	3FFF	0000	           	         
0CF   	E0C9   	0D0	E0C9	0C9	3FFF	000	00CF	3FFF	0000	0C9        	3FFF     
0D0   	A0D5   	0D1	A0D5	0D5	4001	000	00D0	4001	0000	           	         
0D1   	60C9   	0D2	60C9	0C9	3FFF	000	00D1	0002	0001	           	         
0D2   	E0C8   	0D3	E0C8	0C8	0002	000	00D2	0002	0001	0C8        	0002     
0D3   	0100   	0D4	0100	0D3	0100	000	00D3	0002	0001	           	         
