Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
058   	A062   	059	A062	062	3755	000	0058	3755	0000	           	         
059   	2060   	05A	2060	060	000F	000	0059	0005	0000	           	         
05A   	E057   	05B	E057	057	0005	000	005A	0005	0000	           	         
05B   	0200   	05C	0200	05B	0200	000	005B	0000	0100	           	         
05C   	4061   	05D	4061	061	0101	000	005C	0101	0000	           	         
05D   	6057   	05E	6057	057	0005	000	005D	00FC	0001	           	         
05E   	E056   	05F	E056	056	00FC	000	005E	00FC	0001	056        	00FC     
05F   	0100   	060	0100	05F	0100	000	005F	00FC	0001	           	         
