Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
0BA   	A0B7   	0BB	A0B7	0B7	8000	000	00BA	8000	1000	           	         
0BB   	40C2   	0BC	40C2	0C2	4000	000	00BB	C000	1000	           	         
0BC   	E0B8   	0BD	E0B8	0B8	C000	000	00BC	C000	1000	0B8        	C000     
0BD   	0200   	0BE	0200	0BD	0200	000	00BD	0000	0100	           	         
0BE   	30B9   	0BF	30B9	0B9	0000	000	FFFF	0000	0100	           	         
0BF   	30B8   	0C0	30B8	0B8	C000	000	3FFF	C000	1000	           	         
0C0   	E0C3   	0C1	E0C3	0C3	C000	000	00C0	C000	1000	0C3        	C000     
0C1   	0100   	0C2	0100	0C1	0100	000	00C1	C000	1000	           	         
