Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
3F0   	AF80   	3F1	AF80	3F0	FF80	000	FF80	FF80	1000	           	         
3F1   	0740   	3F2	0740	3F1	0740	000	03F1	FF7F	1001	           	         
3F2   	0680   	3F3	0680	3F2	0680	000	03F2	7FFF	0001	           	         
3F3   	EEFB   	3F4	EEFB	3EF	7FFF	000	FFFB	7FFF	0001	           	         
3F4   	AF05   	3F5	AF05	3F4	0005	000	0005	0005	0001	           	         
3F5   	EEF8   	3F6	EEF8	3EE	0005	000	FFF8	0005	0001	3EE        	0005     
3F6   	4EF5   	3F7	4EF5	3EC	0400	000	FFF5	0405	0000	           	         
3F7   	EEF5   	3F8	EEF5	3ED	0405	000	FFF5	0405	0000	3ED        	0405     
3F8   	ABF4   	3F9	ABF4	404	F700	000	FFF4	F700	1000	           	         
3FC   	F203   	3FD	F203	3F9	F203	000	0003	F700	1000	           	         
3FD   	83EE   	3FE	83EE	3EE	0003	000	03FD	F700	1000	3EE        	0004     
3F7   	CEF9   	3F8	CEF9	3FE	03F8	000	FFF9	F700	1000	           	         
3F8   	ABF4   	3F9	ABF4	403	0D00	000	FFF4	0D00	0000	           	         
3F9   	F203   	3FA	F203	3F9	F203	000	03F9	0D00	0000	           	         
3FA   	7EF4   	3FB	7EF4	3EF	7FFF	000	FFF4	0D00	1000	3ED        	0403     
3FB   	F901   	3FC	F901	3FB	F901	000	03FB	0D00	1000	           	         
3FC   	EEF2   	3FD	EEF2	3EF	0D00	000	FFF2	0D00	1000	3EF        	0D00     
3FD   	83EE   	3FE	83EE	3EE	0002	000	03FD	0D00	1000	3EE        	0003     
3F7   	CEF9   	3F8	CEF9	3FE	03F8	000	FFF9	0D00	1000	           	         
3F8   	ABF4   	3F9	ABF4	402	33EC	000	FFF4	33EC	0000	           	         
3F9   	F203   	3FA	F203	3F9	F203	000	03F9	33EC	0000	           	         
3FA   	7EF4   	3FB	7EF4	3EF	0D00	000	FFF4	33EC	0001	3ED        	0402     
3FC   	F901   	3FD	F901	3FB	F901	000	0001	33EC	0001	           	         
3FD   	83EE   	3FE	83EE	3EE	0001	000	03FD	33EC	0001	3EE        	0002     
3F7   	CEF9   	3F8	CEF9	3FE	03F8	000	FFF9	33EC	0001	           	         
3F8   	ABF4   	3F9	ABF4	401	73FF	000	FFF4	73FF	0001	           	         
3F9   	F203   	3FA	F203	3F9	F203	000	03F9	73FF	0001	           	         
3FA   	7EF4   	3FB	7EF4	3EF	0D00	000	FFF4	73FF	0001	3ED        	0401     
3FC   	F901   	3FD	F901	3FB	F901	000	0001	73FF	0001	           	         
3FD   	83EE   	3FE	83EE	3EE	0000	000	03FD	73FF	0001	3EE        	0001     
3F7   	CEF9   	3F8	CEF9	3FE	03F8	000	FFF9	73FF	0001	           	         
3F8   	ABF4   	3F9	ABF4	400	FE00	000	FFF4	FE00	1001	           	         
3FC   	F203   	3FD	F203	3F9	F203	000	0003	FE00	1001	           	         
3FE   	83EE   	3FF	83EE	3EE	FFFF	000	03FD	FE00	1001	3EE        	0000     
3FF   	0100   	400	0100	3FF	0100	000	03FF	FE00	1001	           	         
